GRID_ID,2020,2025,2030,2035,2040,2045,2050
1001,0.35,0.35,0.35,0.35,0.35,0.798,0.926
1002,0.58,0.58,0.58,0.58,0.58,0.939,1.053
1003,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1009,0.65,1.055,1.121,1.238,1.33,1.518,1.712
1010,0.8,1.161,1.223,1.334,1.37,1.449,1.505
1011,0.35,0.35,0.35,0.35,0.707,0.836,0.969
1013,0.35,0.35,0.35,0.35,0.35,0.78,0.874
1014,0.35,0.35,0.35,0.35,0.35,0.35,0.771
1015,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1016,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1018,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1022,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1023,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1024,0.918,0.997,1.083,1.239,1.359,1.607,1.865
1025,0.35,0.35,o,o,o,o,o
1026,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1038,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1039,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1042,0.35,0.35,0.35,0.794,0.872,0.809,0.939
1043,0.65,0.65,0.65,0.65,0.65,0.65,1.007
1047,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1048,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1049,1.104,1.188,1.275,1.427,1.532,1.763,o
1051,0.35,0.35,0.35,0.35,0.35,o,o
1052,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1059,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1060,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1065,0.8,0.869,0.944,1.079,1.184,1.4,1.624
1066,0.35,0.35,o,o,o,o,o
1068,0.35,0.35,0.71,0.796,0.843,0.958,1.065
1072,0.35,0.35,0.713,0.78,0.817,0.912,0.995
1073,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1074,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1075,1.228,1.315,1.408,1.585,1.712,1.99,2.268
1076,1.368,1.387,1.399,1.6,1.756,2.076,2.408
1077,0.43,0.43,0.23,0.23,0.23,0.23,0.23
1079,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1080,0.35,0.35,0.35,0.728,0.788,0.902,1.012
1081,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1083,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1085,0.8,0.8,0.6,0.6,0.6,0.6,0.6
1086,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1087,1.203,1.247,1.292,1.391,1.433,1.564,1.662
1088,1.798,1.952,2.121,2.424,2.661,3.146,3.65
1089,0.51,0.51,0.51,0.51,0.51,0.51,0.51
1090,0.837,0.9,0.968,1.085,0.707,0.836,o
1092,0,0,1.111,1.263,0.733,0.867,0
1094,0.35,0.35,0.703,0.798,0.869,1.007,1.144
1098,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1100,0.749,0.789,0.831,0.911,0.956,1.077,1.187
1101,0.922,1,1.086,1.24,1.359,1.604,1.858
1102,0.756,0.821,0.892,1.02,1.119,0.778,0.903
1104,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1105,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1114,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1115,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1117,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1119,0.862,0.936,1.016,0.788,0.865,1.023,1.186
1120,0.926,1.005,1.092,1.248,1.37,1.62,1.88
1122,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1123,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1132,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1133,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1134,0.812,0.833,0.853,0.91,0.927,o,o
1139,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1140,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1142,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1150,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1155,0.713,0.774,0.841,0.961,1.055,1.248,1.447
1156,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1157,0.98,0.98,0.98,0.98,0.98,0.98,0.98
1158,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1159,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1165,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1167,0.7,0.7,0.7,0.7,0.7,0.7,0.7
1168,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1169,1.473,1.574,1.684,1.882,2.036,2.353,2.682
1172,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1173,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1184,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1185,0,0,1.29,1.475,1.618,1.899,2.15
1190,0.2,0.2,o,o,o,o,o
1194,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1195,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1196,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1204,0.912,0.972,1.032,1.141,1.209,1.371,1.522
1211,1.728,1.73,1.722,1.925,2.084,2.41,2.747
1212,1.6,1.6,1.6,1.6,1.6,1.6,1.6
