GRID_ID,2020,2025,2030,2035,2040,2045,2050
1001,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1002,0.58,0.58,0.58,0.58,0.58,0.58,0.35
1003,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1009,1.166,1.302,1.491,1.658,1.837,1.918,1.937
1010,1.192,1.346,1.559,1.712,1.877,1.951,1.969
1011,0.35,0.35,0.828,0.967,1.119,1.202,1.235
1013,0.35,0.35,0.733,0.857,0.99,1.069,1.107
1014,0.35,0.35,0.35,0.741,0.829,0.865,0.869
1015,0.1,0.215,0.353,0.548,0.756,0.832,0.805
1016,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1018,1.28,1.433,1.661,1.859,2.042,2.087,2.054
1022,0.53,0.53,0.53,0.3,0.3,0.3,0.3
1023,0.15,0.15,0.15,0,0,0,0
1024,1.183,1.362,1.591,1.759,1.933,1.981,1.956
1025,0.35,0.35,0.35,0.743,0.906,1.007,1.035
1026,0.35,0.35,0.35,0.35,0.35,0.747,0.774
1030,0.1,0.279,0.337,0.362,0.388,0.389,0.85
1031,0.1,0.225,0.381,0.607,0.827,0.987,1.108
1032,0,0,1.591,1.769,1.955,2.015,1.999
1038,0.3,0.15,0.15,0.74,0.793,1.674,1.704
1039,0.15,0.15,0.15,0,0,0,0
1042,0.35,0.35,0.767,0.75,0.803,0.806,0.78
1043,1.704,1.849,2.067,2.261,2.464,2.52,2.495
1047,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1048,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1049,1.104,1.256,1.475,1.69,1.921,2.024,0
1051,0.35,0.35,0.35,0.35,0.831,0,0
1052,0.35,0.35,0.35,0.35,0.702,0.776,0.788
1059,0.46,0.46,0.46,0.46,0,0,0
1060,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1065,1.009,1.13,1.312,1.473,1.628,1.668,1.648
1066,0.35,0.35,0.824,1.007,1.208,1.31,1.362
1068,0.35,0.74,0.867,0.971,1.082,1.12,1.117
1072,0.35,0.731,0.862,0.987,1.12,1.177,1.19
1073,0.23,0.23,0.23,0.23,0,0,0
1074,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1075,1.226,1.348,1.536,1.688,1.847,1.887,1.857
1076,1.368,1.456,1.609,1.731,1.854,1.861,1.801
1077,0.43,0.23,0.23,0.23,0.23,0.23,0
1079,0.23,0.23,0.23,0.23,0.23,0.23,0
1080,0.35,0.35,0.742,0.882,1.029,1.139,1.18
1081,0.35,0.35,0.35,0.35,0.828,0.98,1.092
1083,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1085,0.8,0.6,0.6,0.6,0.6,0.6,0.6
1086,0.23,0.23,0.23,0.23,0.23,0.23,0
1087,1.024,1.2,1.447,1.695,1.888,1.95,1.941
1088,1.798,1.912,2.113,2.274,2.436,2.445,2.366
1089,0.51,0.3,0.3,0.3,0.3,0.3,0.3
1090,0.834,0.949,1.091,1.232,1.381,1.449,1.463
1092,0,1.037,1.18,1.324,1.477,1.566,0
1094,0.35,0.35,0.761,0.866,0.979,1.059,1.098
1098,0.3,0.3,0.3,0.3,0.3,0.3,2.18
1100,0.719,0.846,1.008,1.14,1.282,1.333,1.334
1101,0.898,0.956,1.056,1.136,1.217,1.222,1.183
1102,0.747,0.704,0.778,0.837,0.897,0.9,0.871
1104,0.23,0.23,0.23,0.23,0,0,0
1105,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1114,0.23,0.23,0.23,0.23,0.23,0.23,0
1115,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1117,0.35,0.35,0.768,0.931,1.109,1.194,1.233
1119,0.854,0.938,1.069,0.739,0.792,0.795,0.769
1120,1.04,1.194,1.415,1.627,1.854,1.957,1.942
1122,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1123,0.3,0.3,0.3,0.3,0.3,0.3,0.3
