GRID_ID,2020,2025,2030,2035,2040,2045,2050
1001,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1002,0.58,0.58,0.58,0.58,0.58,0.58,0.35
1003,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1004,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0
1009,1.166,1.302,1.491,1.658,1.837,1.918,1.937
1010,1.192,1.346,1.559,1.712,1.877,1.951,1.969
1011,0.35,0.35,0.828,0.967,1.119,1.202,1.235
1012,0,0,0,0,0,0,0
1013,0.35,0.35,0.733,0.857,0.99,1.069,1.107
1014,0.35,0.35,0.35,0.741,0.829,0.865,0.869
1015,0.1,0.215,0.353,0.548,0.756,0.832,0.805
1016,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1017,0,0,0,0,0,0,0
1018,1.28,1.433,1.661,1.859,2.042,2.087,2.054
1019,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0
1022,0.53,0.53,0.53,0.3,0.3,0.3,0.3
1023,0.15,0.15,0.15,0,0,0,0
1024,1.183,1.362,1.591,1.759,1.933,1.981,1.956
1025,0.35,0.35,0.35,0.743,0.906,1.007,1.035
1026,0.35,0.35,0.35,0.35,0.35,0.747,0.774
1027,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0
1030,0.1,0.279,0.337,0.362,0.388,0.389,0.85
1031,0.1,0.225,0.381,0.607,0.827,0.987,1.108
1032,0,0,1.591,1.769,1.955,2.015,1.999
1033,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0
1038,0.3,0.15,0.15,0.74,0.793,1.674,1.704
1039,0.15,0.15,0.15,0,0,0,0
1040,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0
1042,0.35,0.35,0.767,0.75,0.803,0.806,0.78
1043,1.704,1.849,2.067,2.261,2.464,2.52,2.495
1044,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0
1047,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1048,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1049,1.104,1.256,1.475,1.69,1.921,2.024,0
1050,0,0,0,0,0,0,0
1051,0.35,0.35,0.35,0.35,0.831,0,0
1052,0.35,0.35,0.35,0.35,0.702,0.776,0.788
1053,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0
1055,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0
1059,0.46,0.46,0.46,0.46,0,0,0
1060,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1061,0,0,0,0,0,0,0
1062,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0
1065,1.009,1.13,1.312,1.473,1.628,1.668,1.648
1066,0.35,0.35,0.824,1.007,1.208,1.31,1.362
1067,0,0,0,0,0,0,0
1068,0.35,0.74,0.867,0.971,1.082,1.12,1.117
1069,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0
1071,0,0,0,0,0,0,0
1072,0.35,0.731,0.862,0.987,1.12,1.177,1.19
1073,0.23,0.23,0.23,0.23,0,0,0
1074,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1075,1.226,1.348,1.536,1.688,1.847,1.887,1.857
1076,1.368,1.456,1.609,1.731,1.854,1.861,1.801
1077,0.43,0.23,0.23,0.23,0.23,0.23,0
1078,0,0,0,0,0,0,0
1079,0.23,0.23,0.23,0.23,0.23,0.23,0
1080,0.35,0.35,0.742,0.882,1.029,1.139,1.18
1081,0.35,0.35,0.35,0.35,0.828,0.98,1.092
