"GRID_ID","2020","2025","2030","2035","2040","2045","2050"
1001,0.35,0.35,0.35,0.35,0.35,0.798,0.926
1002,0.58,0.58,0.58,0.58,0.58,0.939,1.053
1003,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1004,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0
1009,0.65,1.055,1.121,1.238,1.33,1.518,1.712
1010,0.8,1.161,1.223,1.334,1.37,1.449,1.505
1011,0.35,0.35,0.35,0.35,0.707,0.836,0.969
1012,0,0,0,0,0,0,0
1013,0.35,0.35,0.35,0.35,0.35,0.78,0.874
1014,0.35,0.35,0.35,0.35,0.35,0.35,0.771
1015,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1016,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1017,0,0,0,0,0,0,0
1018,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1019,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0
1022,0.53,0.53,0.53,0.53,0.53,0.53,0.53
1023,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1024,0.918,0.997,1.083,1.239,1.359,1.607,1.865
1025,0.35,0.35,0,0,0,0,0
1026,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1027,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0
1038,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1039,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1040,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0
1042,0.35,0.35,0.35,0.794,0.872,0.809,0.939
1043,0.65,0.65,0.65,0.65,0.65,0.65,1.007
1044,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0
1047,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1048,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1049,1.104,1.188,1.275,1.427,1.532,1.763,0
1050,0,0,0,0,0,0,0
1051,0.35,0.35,0.35,0.35,0.35,0,0
1052,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1053,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0
1055,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0
1059,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1060,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1061,0,0,0,0,0,0,0
1062,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0
1065,0.8,0.869,0.944,1.079,1.184,1.4,1.624
1066,0.35,0.35,0,0,0,0,0
1067,0,0,0,0,0,0,0
1068,0.35,0.35,0.71,0.796,0.843,0.958,1.065
1069,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0
1071,0,0,0,0,0,0,0
1072,0.35,0.35,0.713,0.78,0.817,0.912,0.995
1073,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1074,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1075,1.228,1.315,1.408,1.585,1.712,1.99,2.268
1076,1.368,1.387,1.399,1.6,1.756,2.076,2.408
1077,0.43,0.43,0.23,0.23,0.23,0.23,0.23
1078,0,0,0,0,0,0,0
1079,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1080,0.35,0.35,0.35,0.728,0.788,0.902,1.012
1081,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1082,0,0,0,0,0,0,0
1083,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1084,0,0,0,0,0,0,0
1085,0.8,0.8,0.6,0.6,0.6,0.6,0.6
1086,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1087,1.203,1.247,1.292,1.391,1.433,1.564,1.662
1088,1.798,1.952,2.121,2.424,2.661,3.146,3.65
1089,0.51,0.51,0.51,0.51,0.51,0.51,0.51
1090,0.837,0.9,0.968,1.085,0.707,0.836,0
1091,0,0,0,0,0,0,0
1092,0,0,1.111,1.263,0.733,0.867,0
1093,0,0,0,0,0,0,0
1094,0.35,0.35,0.703,0.798,0.869,1.007,1.144
1095,0,0,0,0,0,0,0
1096,0,0,0,0,0,0,0
1097,0,0,0,0,0,0,0
1098,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1099,0,0,0,0,0,0,0
1100,0.749,0.789,0.831,0.911,0.956,1.077,1.187
1101,0.922,1,1.086,1.24,1.359,1.604,1.858
1102,0.756,0.821,0.892,1.02,1.119,0.778,0.903
1103,0,0,0,0,0,0,0
1104,0.23,0.23,0.23,0.23,0.23,0.23,0.23
1105,0.9,0.9,0.9,0.9,0.9,0.9,0.9
1106,0,0,0,0,0,0,0
1107,0,0,0,0,0,0,0
1108,0,0,0,0,0,0,0
1109,0,0,0,0,0,0,0
1110,0,0,0,0,0,0,0
1111,0,0,0,0,0,0,0
1112,0,0,0,0,0,0,0
1113,0,0,0,0,0,0,0
1114,0.23,0.23,0.23,0.23,0.23,0.23,0.23
